2021-11-22 22:17:42 - WARNING - aliyundrive.py - 675 - Token is about to expire, try to auto refresh.
2021-11-22 22:22:12 - WARNING - pixivdrive.py - 98 - Failed to add salt to page tmp/93476800/93476800_ugoira0.gif, upload original page.
2021-11-22 22:25:32 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:25:32 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:25:35 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:25:35 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:25:35 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:29:08 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:29:08 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:29:11 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:30:16 - WARNING - pixivdrive.py - 98 - Failed to add salt to page tmp/93829976/93829976_ugoira0.gif, upload original page.
2021-11-22 22:31:05 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:32:18 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:34:39 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:37:07 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:37:10 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:38:35 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:39:12 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:40:23 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:40:26 - ERROR - base.py - 60 - https://i.pximg.net/img-original/img/2021/08/28/00/00/02/92307367_p0.png:('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2021-11-22 22:40:26 - ERROR - pixiv.py - 111 - Failed to get page from https://i.pximg.net/img-original/img/2021/08/28/00/00/02/92307367_p0.png.
2021-11-22 22:40:27 - WARNING - base.py - 23 - Retry func _get_page 2 time.
2021-11-22 22:41:02 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:41:02 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:43:42 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:46:33 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:47:31 - WARNING - pixivdrive.py - 98 - Failed to add salt to page tmp/92243785/92243785_ugoira0.gif, upload original page.
2021-11-22 22:47:43 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:50:39 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:54:54 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:57:47 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:58:04 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 22:58:08 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:01:45 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:01:45 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:04:38 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:01 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:05:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:07:07 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:07:10 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:13 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:18 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:08:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:09:53 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:09:53 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:12:19 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:14:19 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:15:21 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:18:59 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:19:26 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:19:51 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:20:46 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:23:05 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:23:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:24:17 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:27:03 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:30:56 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:35:47 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:35:51 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:37:23 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:39:40 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:40:29 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-22 23:41:57 - WARNING - pixiv.py - 375 - Page file already exist, skip download.
2021-11-23 22:17:43 - WARNING - aliyundrive.py - 675 - Token is about to expire, try to auto refresh.
